#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-10-28 08:27:09.555 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:30ad0920-40fa-4f6a-afa9-8d186733d8aa, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-28 08:27:09.571 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:82a0b000-b9d1-49c0-b53a-3bca5d315bd3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-28 08:27:09.571 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:82a0b000-b9d1-49c0-b53a-3bca5d315bd3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-28 08:27:10.188 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:58fde41d-f716-42f3-a9bb-c26198ad1836, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-28 08:27:10.188 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:58fde41d-f716-42f3-a9bb-c26198ad1836, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-28 08:27:10.206 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4c5e6a4e-0c48-497e-8b2d-70c22b5802f6, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-28 08:27:10.206 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4c5e6a4e-0c48-497e-8b2d-70c22b5802f6, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-28 08:27:10.401 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6d7ba416-22f2-4e87-8787-aa823731fdeb, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-28 08:27:10.401 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6d7ba416-22f2-4e87-8787-aa823731fdeb, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-28 08:27:10.401 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4a2eb755-43fc-41fb-a9e5-028937c20e5b, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
