#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-11-11 23:23:21.038 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c04285a3-4f3f-4d10-a032-fb36bc79b752, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.038 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:32a6c8eb-209d-4a5b-83f0-0be71fc9268b, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.038 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:32a6c8eb-209d-4a5b-83f0-0be71fc9268b, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.075 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:5d2e45c5-1b81-4124-8589-ac25793f484a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.075 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:5d2e45c5-1b81-4124-8589-ac25793f484a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.091 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:ece0a512-b76d-47d0-83e2-01313e8b672e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.091 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:ece0a512-b76d-47d0-83e2-01313e8b672e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.238 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:551013c7-1053-4e03-9555-b69fd29f6d5e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.238 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:551013c7-1053-4e03-9555-b69fd29f6d5e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.376 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:34a98b20-21e5-49a4-9f4c-122519efbcca, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.376 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:34a98b20-21e5-49a4-9f4c-122519efbcca, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.376 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:cd174824-98d3-45ee-b4e8-920f3c4bca6a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.376 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:cd174824-98d3-45ee-b4e8-920f3c4bca6a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.407 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:eb1e9483-213b-4aeb-ab7e-afcc28b359b2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.407 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:eb1e9483-213b-4aeb-ab7e-afcc28b359b2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.423 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c63d1b4f-a9c2-4754-862b-a755578128d3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.423 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c63d1b4f-a9c2-4754-862b-a755578128d3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.723 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3c54ba57-06d6-489c-89c6-e06174076a3d, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.723 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3c54ba57-06d6-489c-89c6-e06174076a3d, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.723 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:184e0427-6e7f-421c-9d71-1594b7607631, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.723 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:184e0427-6e7f-421c-9d71-1594b7607631, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.761 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c99f3030-1225-4dce-a7c6-ccddebe6e641, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.761 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c99f3030-1225-4dce-a7c6-ccddebe6e641, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
