#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-10-30 15:58:22.132 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:1076be7b-fd0a-485b-8e9e-442040825c29, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.132 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:1076be7b-fd0a-485b-8e9e-442040825c29, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.334 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:57e67c60-97a8-42d6-ad1c-8303a3b46f43, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.334 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:e4bb26b6-727a-45ec-90b5-a84c2dc57429, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.334 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:57e67c60-97a8-42d6-ad1c-8303a3b46f43, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.334 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:e4bb26b6-727a-45ec-90b5-a84c2dc57429, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.334 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:2de433db-9275-4007-b0e7-397910be61e0, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.339 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:2de433db-9275-4007-b0e7-397910be61e0, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.339 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:fa7f2d55-9fb7-47fa-bd67-9a8057d32523, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.339 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:fa7f2d55-9fb7-47fa-bd67-9a8057d32523, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.339 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f402ad40-b009-436b-97e3-176b9d7ebf55, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.339 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f402ad40-b009-436b-97e3-176b9d7ebf55, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
