#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 4
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-12-04 20:20:14.166 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7f51d07a-8c5e-43b9-8e9a-945dc52e4300, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.166 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7f51d07a-8c5e-43b9-8e9a-945dc52e4300, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.210 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:94765f3f-61d4-458f-86fd-41bb70b8d3c6, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.210 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:94765f3f-61d4-458f-86fd-41bb70b8d3c6, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.694 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:bef04692-e20a-461e-8f42-3898f5eda414, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.694 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3f439d70-aa70-40cc-b34e-471b23c75642, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.694 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:bef04692-e20a-461e-8f42-3898f5eda414, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.694 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3f439d70-aa70-40cc-b34e-471b23c75642, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.854 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:eeacb5f6-c248-47c8-8fb1-64eeef3f0da6, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.854 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:eeacb5f6-c248-47c8-8fb1-64eeef3f0da6, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.854 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:10f3b6ac-0506-470e-9765-91e298a0ccf0, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.854 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:10f3b6ac-0506-470e-9765-91e298a0ccf0, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
